GO_RangeCode,GO_OBSERVER1s,GO_WaterSource,GO_DG_SpecificSource,GO_Date,GO_Time_HHMM,GO_Time_HHMM_End,GO_DatObsTime,GO_SheepUTM_E,GO_SheepUTM_N,GO_DG_Photo#Start,GO_DG_Photo#End,GO_DG_PhotoFolder,KI_Known_ID,KI_DatObsT_ID,KI_Sex,KI_DG_FirstPhotoTime,KI_DG_LastPhotoTime,KI_DG_SheepDrank,KI_DG_FirstPhotoTime2,KI_DG_LastPhotoTime2,KI_DG_SheepDrank2,KI_DG_FirstPhotoTime3,KI_DG_LastPhotoTime3,KI_DG_SheepDrank3,KI_DG_FirstPhotoTime4,KI_DG_LastPhotoTime4,KI_DG_SheepDrank4,GO_GroupSize,GO_NoLambs,GO_NoMaleLambs,GO_NoFemLambs,GO_NoUnkLambs,GO_NoShtYrlgEwe,GO_NoShtYrlgRam,GO_NoShtYrlgUnkwn,GO_TotNoShtYrlg,GO_TotNoEwe,GO_NoYrlgEwe,GO_NoAdltEwe,GO_NoUnkEwe,GO_TotNoRam,GO_NoYrlgRam,GO_NoAdltRam,GO_NoUnkRam,GO_UnkwSexAge,GO_NoCatI,GO_NoCatII,GO_NoCatIII,GO_NoCatIV,GO_NoLamb0,GO_NoLambHalf,GO_NoLambFull,GO_Comments,GO_UnknownYearling,GO_totalYearling,GO_UnknownAdult,GO_TotalAdults,GO_TotalSexUnkn,GO_TotalAgeUnkn,GO_MarkedMale,GO_MarkedFemale,CP_Weight (kg),CP_AgeCategor,CP_AgeYears,CP_BdyLgth_cm,CP_ChstGth_cm,Year,Month,Day
Marb,D_Glass,Marb,,20190522,12:45,,20190522D_Glass12:45,,,Smarb_20190522_124559,Smarb_20190522_131335,3,BHS_1421,20190522D_Glass12:45BHS_1421,,12:46,12:50,Y,,,,,,,,,,14,1,0,0,1,0,0,0,0,12,0,12,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,13,1,0,0,5,,Adult,4,,,2019,5,22
Marb,D_Glass,Marb,,20190522,12:45,,20190522D_Glass12:45,,,Smarb_20190522_124559,Smarb_20190522_131335,3,BHS_1589,20190522D_Glass12:45BHS_1589,,12:51,12:53,Y,,,,,,,,,,14,1,0,0,1,0,0,0,0,12,0,12,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,13,1,0,0,5,,Adult,6,,,2019,5,22
Marb,D_Glass,Marb,,20190522,12:45,,20190522D_Glass12:45,,,Smarb_20190522_124559,Smarb_20190522_131335,3,BHS_1362,20190522D_Glass12:45BHS_1362,,12:56,12:57,Y,,,,,,,,,,14,1,0,0,1,0,0,0,0,12,0,12,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,13,1,0,0,5,,Adult,2,,,2019,5,22
Marb,D_Glass,Marb,,20190522,12:45,,20190522D_Glass12:45,,,Smarb_20190522_124559,Smarb_20190522_131335,3,BHS_1365,20190522D_Glass12:45BHS_1365,,13:09,13:12,Y,,,,,,,,,,14,1,0,0,1,0,0,0,0,12,0,12,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,13,1,0,0,5,,Adult,3,,,2019,5,22
Marb,D_Glass,Marb,,20190522,12:45,,20190522D_Glass12:45,,,Smarb_20190522_124559,Smarb_20190522_131335,3,BHS_1361,20190522D_Glass12:45BHS_1361,,13:09,13:10,N,,,,,,,,,,14,1,0,0,1,0,0,0,0,12,0,12,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,13,1,0,0,5,,Adult,3,,,2019,5,22
Marb,D_Glass,Marb,,20190524,15:58,,20190524D_Glass15:58,,,Smarb_20190524_155845,Smarb_20190524_161449,3,BHS_1683,20190524D_Glass15:58BHS_1683,,16:05,16:07,Y,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,2,0,0,0,,0,0,0,3,0,0,1,0,64.6,Adult,3,144,95.5,2019,5,24
Nopa,D_Glass,Nopa,Side,20190625,13:06,,20190625D_Glass13:06,,,CentralNopah_Side_20190625_130628,CentralNopah_Side_20190625,1,BHS_1740,20190625D_Glass13:06BHS_1740,,13:29,14:17,Y,,,,,,,,,,10,2,0,0,2,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,Ewe group was probably much larger than my minimum estimate. White ewe (1738) was seen but definitely did not drink!,0,0,0,8,2,0,0,1,,Yearling,1,,,2019,6,25
Nopa,D_Glass,Nopa,,20190701,11:36,,20190701D_Glass11:36,,,CentralNopah_Side_20190701_113655,CentralNopah_Side_20190701_122059,2,BHS_1740,20190701D_Glass11:36BHS_1740,,11:37,12:06,Y,,,,,,,,,,10,4,1,0,3,0,0,0,0,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,6,3,0,0,1,,Yearling,1,,,2019,7,1
Nopa,D_Glass,Nopa,,20190706,11:12,,20190706D_Glass11:12,,,CentralNopah_Side_20190706_111213,CentralNopah_Side_20190706_123210,3,BHS_1740,20190706D_Glass11:12BHS_1740,,11:18,11:59,Y,,,,,,,,,,15,5,0,0,5,0,0,0,0,9,1,8,0,1,1,0,0,0,1,0,0,0,0,0,5,,0,2,0,8,5,0,0,2,,Yearling,1,,,2019,7,6
Nopa,D_Glass,Nopa,,20190706,11:12,,20190706D_Glass11:12,,,CentralNopah_Side_20190706_111213,CentralNopah_Side_20190706_123210,3,BHS_1738,20190706D_Glass11:12BHS_1738,,11:24,12:15,Y,,,,,,,,,,15,5,0,0,5,0,0,0,0,9,1,8,0,1,1,0,0,0,1,0,0,0,0,0,5,,0,2,0,8,5,0,0,2,44.2,Yearling,1,130.5,84.5,2019,7,6
Marb,D_Glass,DevS,,20190618,19:12,,20190618D_Glass19:12,,,DevelopedSeep_20190618,DevelopedSeep_20190618_204652,1,BHS_1682,20190618D_Glass19:12BHS_1682,,19:12,19:58,Y,,,,,,,,,,8,0,0,0,0,0,0,0,0,7,1,6,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,1,0,7,0,0,1,2,61,Adult,3,140,98.5,2019,6,18
Marb,D_Glass,DevS,,20190618,19:12,,20190618D_Glass19:12,,,DevelopedSeep_20190618,DevelopedSeep_20190618_204652,1,BHS_1594,20190618D_Glass19:12BHS_1594,,19:12,20:42,N,,,,,,,,,,8,0,0,0,0,0,0,0,0,7,1,6,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,1,0,7,0,0,1,2,56.5,Adult,7,125,98.9,2019,6,18
Marb,D_Glass,DevS,,20190618,19:12,,20190618D_Glass19:12,,,DevelopedSeep_20190618,DevelopedSeep_20190618_204652,1,BHS_1587,20190618D_Glass19:12BHS_1587,,19:12,20:42,Y,,,,,,,,,,8,0,0,0,0,0,0,0,0,7,1,6,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,1,0,7,0,0,1,2,65.5,Adult,6,139,97,2019,6,18
Marb,D_Glass,DevS,,20190619,6:26,,20190619D_Glass06:26,,,DevelopedSeep_20190619_062650,DevelopedSeep_20190619_065052,1,BHS_1362,20190619D_Glass06:26BHS_1362,,6:26,6:45,N,,,,,,,,,,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,1,,Adult,2,,,2019,6,19
Marb,D_Glass,DevS,,20190619,7:37,,20190619D_Glass07:37,,,DevelopedSeep_20190619_073737,DevelopedSeep_20190619_074212,1,BHS_1587,20190619D_Glass07:37BHS_1587,,7:37,7:42,N,,,,,,,,,,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,65.5,Adult,6,139,97,2019,6,19
Marb,D_Glass,DevS,,20190619,7:37,,20190619D_Glass07:37,,,DevelopedSeep_20190619_073737,DevelopedSeep_20190619_074212,1,BHS_1594,20190619D_Glass07:37BHS_1594,,7:37,7:37,Y,,,,,,,,,,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,56.5,Adult,7,125,98.9,2019,6,19
Marb,D_Glass,DevS,,20190619,8:18,,20190619D_Glass08:18,,,DevelopedSeep_20190619_081852,DevelopedSeep_20190619_082245,1,BHS_1582,20190619D_Glass08:18BHS_1582,,8:18,8:22,N,,,,,,,,,,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,1,59.2,Adult,5,138,92,2019,6,19
Marb,D_Glass,DevS,,20190620,6:12,,20190620D_Glass06:12,,,DevelopedSeep_20190620_061221,DevelopedSeep_20190620_073039,1,BHS_1576,20190620D_Glass06:12BHS_1576,,6:12,7:30,N,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,2,0,0,0,1,58.5,Adult,8,141,97,2019,6,20
Marb,D_Glass,DevS,,20190620,9:37,,20190620D_Glass09:37,,,DevelopedSeep_20190620_093756,DevelopedSeep_20190620_100658,1,BHS_1576,20190620D_Glass09:37BHS_1576,,9:37,10:06,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,58.5,Adult,8,141,97,2019,6,20
Marb,D_Glass,DevS,,20190620,17:36,,20190620D_Glass17:36,,,DevelopedSeep_20190620_173659,DevelopedSeep_20190620_194838,1,BHS_1362,20190620D_Glass17:36BHS_1362,,17:36,19:48,N,,,,,,,,,,3,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2,0,0,0,1,,Adult,2,,,2019,6,20
Marb,D_Glass,DevS,,20190621,7:32,,20190621D_Glass07:32,,,DevelopedSeep_20190621_073206,DevelopedSeep_20190621_073213,1,BHS_1582,20190621D_Glass07:32BHS_1582,,7:32,7:32,N,,,,,,,,,,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,1,59.2,Adult,5,138,92,2019,6,21
Marb,D_Glass,DevS,,20190621,11:50,,20190621D_Glass11:50,,,DevelopedSeep_20190621_115049,DevelopedSeep_20190621_125941,1,BHS_1576,20190621D_Glass11:50BHS_1576,,11:50,12:59,Y,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,1,58.5,Adult,8,141,97,2019,6,21
