Mountain Range,Latitude,Longitude,Name,Currently has water?,Sheep use?,Camera Data?,,,,Needs to be added to ArcMap/GoogleEarth,
Kingstons,590625,3960895,Two Springs west of Tecopa,Y,N,,,,,,
Kingstons,599972,3953573,Tinajas on south side of Kingstons/Sheep Tanks (location approximate),Y,Y,,,,,,
Kingstons,,,Loco Heifer Tank,,,,,,,,
Kingstons,600389,3959509,RightWrong Ridge Drinker,U,U,,,,,,
Kingstons,590957,3960586,Upper Horse Thief Springs,Y,U,,,,,,
Marbles,628030,3834500,Castle Mine Spring,Y,N,,,,,,
Marbles,631380,3832925,Marble Mtn Guzzler,U,U,,,,,,
Marbles,622340,3842740,South I40 Guzzler,Y,Y,Y,,,,,
Marbles,623770,3838280,Theresa Spring,Y,Y,Y,,,,,
Marbles,622690,3839850,Vernandyles Spring,Y,Y,Y,,,,,
Marbles,624433,3838622,Developed Seep,Y,Y,,9/11/17 Had water May 2017,,,,
Marbles,,,Bickett Tank,U,U,,,,,,
Marbles,,,S. Marb Drinker,Y,Y,Y,,,,x,
N. Bristols,583380,3864676,Hyten/Carpenter Tanks,Y,Y,Y,,,,,
N. Bristols,603095,3844388,North I-40 Guzzler,U,U,,4/27/18 SCBS fixed pipe. Unknown if water.,,,,
N. Bristols,586503,3859825,String of Pearls Tinaja,Y,Y,,"8/10/17 had water, GPS indicates sheep use.",,,,
N. Bristols,586525,3859793,Lake Tinaja,Y,Y,,"8/10/17 at least 10ft across tinaja, GPS indicates sheep use.",,,,
N. Bristols,598202,3846205,Danielle's Seasonal Tenaja,Y,U,,4/10/18 Seasonal Tenaja couple ft wide with water,,,,
N. Bristols,586156,3864108,Hyten Spring Drinker,Y,Y,Y,,,,,
NewberryRodmanOrd,535969,3839887,Deep Tank,Y,Y,,,,,,
NewberryRodmanOrd,521798,3851025,Hidden Springs,Y,N,,,,,,
NewberryRodmanOrd,527813,3844289,Kane Springs,Y,Y,,,,,,
NewberryRodmanOrd,524168,3849379,Newberry Springs,Y,Y,Y,,,,,
NewberryRodmanOrd,527576,3852329,Quarry Drinker,Y,Y,,,,,,
NewberryRodmanOrd,536045,3843453,Sheep Spring,Y,Y,,4/19/18 sheep use in the last 6 months for the first time in 40 years,,,,
NewberryRodmanOrd,531515,3844094,Shooting Spring,N,N,,,,,,
NewberryRodmanOrd,516332,3840485,Aztec Spring,Y,N,,,,,,
NewberryRodmanOrd,507421,3834570,Badger Spring,Y,N,,,,,,
NewberryRodmanOrd,520832,3837081,Fisher Spring,Y,Y,,,,,,
NewberryRodmanOrd,506700,3836765,Goat Spring,U,N,,,,,,
NewberryRodmanOrd,511031,3835377,Joker Spring,Y,Y,,,,,,
NewberryRodmanOrd,509953,3833521,Quill Spring,N,N,,,,,,
NewberryRodmanOrd,514628,3838582,Stock Tank,Y,Y,,,,,,
NewberryRodmanOrd,516158,3838933,Sweetwater Spring,Y,Y,,,,,,
NewberryRodmanOrd,506548,3833773,Taylor Spring,N,N,,,,,,
NewberryRodmanOrd,506127,3834312,Wet Spot,Y,N,,,,,,
NewberryRodmanOrd,520434,3839705,Willis Well,N,N,,,,,,
NewberryRodmanOrd,517245,3838604,Willow Spring,Y,Y,Y,,,,,
NewberryRodmanOrd,524649,3895166,Water Tank,Y,Y,,coordinates probs wrong,,,,
NewberryRodmanOrd,531614,3843967,Seep,U,U,,,,,x,
Nopah,577052,3994023,El Si Guzzler,Y,Y,Y,"6/11/18 Water, sheep use",,,x,
Nopah,583950,3982524,DMG Seep,Y,U,,"2/8/18 Found seep with enough water for a sheep to drink from, unknown if sheep use",,,x,
Nopah,583050,3983420,Nopah Guzzler,Y,Y,Y,"2/8/18 Water, sheep use",,,,
NY Mtns/Mid Hills,,,Dove Springs,U,U,,,,,,
NY Mtns/Mid Hills,,,Cliff Springs,U,U,,,,,,
NY Mtns/Mid Hills,,,Juniper Spring,U,U,,,,,,
NY Mtns/Mid Hills,,,Indian Spring ,U,U,,,,,,
NY Mtns/Mid Hills,,,Slaughterhouse Spring,U,U,,,,,,
NY Mtns/Mid Hills,,,W___ Spring,U,U,,,,,,
NY Mtns/Mid Hills,,,Keystone Spring,U,U,,,,,,
NY Mtns/Mid Hills,,,Mai? Spring,U,U,,,,,,
NY Mtns/Mid Hills,645995,3904512,Sacaton Spring,U,U,,,,,,
NY Mtns/Mid Hills,648258,3898980,Howe Spring,U,U,,,,,,
NY Mtns/Mid Hills,645626,3899273,Cottonwood Spring,U,U,,,,,,
NY Mtns/Mid Hills,650337,3905582,Garvanza Spring,U,U,,,,,,
NY Mtns/Mid Hills,656014,3902855,Sagamore Mine Spring,U,U,,,,,,
NY Mtns/Mid Hills,643387,3896568,Beck Spring,U,U,,,,,,
NY Mtns/Mid Hills,643198,3896222,Live Oak Spring,U,U,,,,,,
NY Mtns/Mid Hills,654662,3902000,Carruthers Canyon,U,U,,,,,,
NY Mtns/Mid Hills,644960,3897778,Cabin Spring,U,U,,,,,,
NY Mtns/Mid Hills,646401,3901895,Clark,U,U,,,,,,
NY Mtns/Mid Hills,670615,3915801,Malpais Spring,U,U,,,,,,
NY Mtns/Mid Hills,648326,3904403,Cliff Canyon Spring,U,U,,,,,,
NY Mtns/Mid Hills,644567,3894777,Mid Hills Spring,U,U,,,,,,
ODKM,609187,3900029,Cane Spring: Cinder Cone Lava Beds,U,U,,,,,,
ODKM,607501,3909011,Granite Spring:  Club Peak,U,U,,,,,,
