"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","xend","yend"
"77017",-116.0939922,36.0414136,2019-06-27 06:00:00,0.000513900000001399,0.00134640000000275,0.00144114057954414,3600,4.07125290500044e-05,1.20617819740631,-0.181107241032918,-116.0941417,36.0406081
"77117",-116.0934783,36.04276,2019-06-27 07:00:00,0.000795199999998886,0.00110970000000066,0.00136520223044049,3600,5.83747634600509e-05,0.949022646453528,-0.257155550952777,-116.0939922,36.0414136
"77151",-116.0926831,36.0438697,2019-06-27 08:00:00,-0.000105000000004907,-0.000136900000001106,0.000172530026376087,3600,7.59704549300789e-05,-2.2250783765856,3.10908428414046,-116.0934783,36.04276
"77219",-116.0927881,36.0437328,2019-06-27 09:00:00,-0.000481299999989915,0.00122859999999747,0.00131951038267384,3600,7.35985685000582e-05,1.94416760769153,-2.11393932290245,-116.0926831,36.0438697
"77305",-116.0932694,36.0449614,2019-06-27 10:00:00,0.000743299999996339,8.8000000005195e-05,0.000748491075428072,3600,9.64508412100074e-05,0.11784242588445,-1.82632518180708,-116.0927881,36.0437328
"77367",-116.0925261,36.0450494,2019-06-27 11:00:00,-0.000251699999992638,2.58999999971365e-05,0.000253029049708024,3600,9.79736823401223e-05,3.03905327085929,2.92121084497484,-116.0932694,36.0449614
"77397",-116.0927778,36.0450753,2019-06-27 12:00:00,0.00370589999999993,-0.000609500000003038,0.0037556870290272,3600,9.84346619600627e-05,-0.163008159167752,3.08112387715254,-116.0925261,36.0450494
"77499",-116.0890719,36.0444658,2019-06-27 13:00:00,0.00102359999999635,0.00029750000000206,0.0010659564765945,3600,0.000100282600820097,0.282848479467,0.445856638634752,-116.0927778,36.0450753
"77534",-116.0880483,36.0447633,2019-06-27 14:00:00,-0.00145950000000994,0.00192309999999907,0.00241421909942437,3600,0.000114501124610129,2.21998874761016,1.93714026814316,-116.0890719,36.0444658
"77620",-116.0895078,36.0466864,2019-06-27 15:00:00,0.00109360000000436,-0.00128920000000221,0.00169056132690158,3600,0.000143548060250025,-0.867302821088387,-3.08729156869855,-116.0880483,36.0447633
"77650",-116.0884142,36.0453972,2019-06-27 16:00:00,0.000681100000008428,0.00105000000000643,0.00125155791317262,3660,0.000123774685450012,0.995358994270255,1.86266181535864,-116.0895078,36.0466864
"77771",-116.0877331,36.0464472,2019-06-27 17:01:00,-0.00178999999999974,0.00135109999999372,0.00224267055315356,3540,0.000152766140180245,2.49502376884652,1.49966477457627,-116.0884142,36.0453972
"77793",-116.0895231,36.0477983,2019-06-27 18:00:00,-0.00234610000001112,0.00161670000000669,0.00284919358767947,3660,0.00017033120065006,2.53821892704908,0.0431951582025589,-116.0877331,36.0464472
"77894",-116.0918692,36.049415,2019-06-27 19:01:00,-0.00228020000000129,0.00232139999999958,0.00325395298060742,3600,0.000204165032770171,2.34724132191629,-0.190977605132788,-116.0895231,36.0477983
"77976",-116.0941494,36.0517364,2019-06-27 20:01:00,-1.44999999918127e-05,-7.61000000011336e-05,7.74690906099659e-05,3540,0.000276921427210183,-1.75907821482016,2.17686577044313,-116.0918692,36.049415
"77990",-116.0941639,36.0516603,2019-06-27 21:00:00,9.96999999927084e-05,-0.00010029999999972,0.000141421992626642,3600,0.000274443986570121,-0.788398154432668,0.970680060387494,-116.0941494,36.0517364
"78061",-116.0940642,36.05156,2019-06-27 22:00:00,-0.000238299999992364,-6.69000000002029e-05,0.00024751262593328,3600,0.00027087202777015,-2.86789921095766,-2.07950105652499,-116.0941639,36.0516603
"78145",-116.0943025,36.0514931,2019-06-27 23:00:00,-2.94000000025108e-05,6.59999999896854e-06,3.01317108729992e-05,3600,0.000269361737530119,2.9207638839121,-0.49452221230983,-116.0940642,36.05156
"78192",-116.0943319,36.0514997,2019-06-28 00:00:00,-0.000117799999998169,0.000188100000002578,0.000221942447496054,3600,0.000269669268850093,2.13030308289256,-0.790460801019536,-116.0943025,36.0514931
"78251",-116.0944497,36.0516878,2019-06-28 01:00:00,4.1100000004235e-05,-0.000267200000003243,0.000270342467995839,3660,0.000276239146420172,-1.4181751214525,2.73470710283452,-116.0943319,36.0514997
"78355",-116.0944086,36.0514206,2019-06-28 02:01:00,2.80000000003611e-05,0.000131299999999612,0.000134252337037083,3540,0.00026733727673005,1.36069144398054,2.77886656543304,-116.0944497,36.0516878
"78379",-116.0943806,36.0515519,2019-06-28 03:00:00,-0.000154700000010166,6.28000000020279e-05,0.000166960863687872,3600,0.000271534379040037,2.75597009379034,1.39527864980981,-116.0944086,36.0514206
"78477",-116.0945353,36.0516147,2019-06-28 04:00:00,0.000442800000001853,0.00110389999999683,0.00118939776777773,3600,0.000274124556890137,1.1893219713404,-1.56664812244994,-116.0943806,36.0515519
"78529",-116.0940925,36.0527186,2019-06-28 05:00:00,-0.00377059999999574,0.00214420000000359,0.00433762815372448,3600,0.000310305452980032,2.62453398019219,1.43521200885179,-116.0945353,36.0516147
"78589",-116.0978631,36.0548628,2019-06-28 06:00:00,-0.00034410000000662,0.00218079999999787,0.00220778020871537,3660,0.000414525252500105,1.72729224039666,-0.897241739795532,-116.0940925,36.0527186
"78666",-116.0982072,36.0570436,2019-06-28 07:01:00,0.000112500000000182,0.000455799999997453,0.000469478316855762,3540,0.000508876728050099,1.32881398677563,-0.39847825362103,-116.0978631,36.0548628
"78701",-116.0980947,36.0574994,2019-06-28 08:00:00,-8.74999999922466e-05,0.000172500000005016,0.000193423111339813,3600,0.000527825223459986,2.04022421819188,0.711410231416258,-116.0982072,36.0570436
"78771",-116.0981822,36.0576719,2019-06-28 09:00:00,-0.000980300000009038,0.00112779999999901,0.00149429613196832,3660,0.000536506140960128,2.28634011583295,0.246115897641066,-116.0980947,36.0574994
"78859",-116.0991625,36.0587997,2019-06-28 10:01:00,-0.000635299999999006,0.00106639999999913,0.00124129571416198,3540,0.000600169662530189,2.10807956854081,-0.178260547292141,-116.0981822,36.0576719
"78880",-116.0997978,36.0598661,2019-06-28 11:00:00,-0.000117500000001769,6.13999999998782e-05,0.000132575299360027,3600,0.000660282592840141,2.66006570844057,0.551986139899766,-116.0991625,36.0587997
"78941",-116.0999153,36.0599275,2019-06-28 12:00:00,0.000657800000013253,-6.90000000247437e-06,0.00065783618782906,3600,0.00066498969721016,-0.0104891257987703,-2.67055483423935,-116.0997978,36.0598661
"79033",-116.0992575,36.0599206,2019-06-28 13:00:00,-0.000411700000000792,-0.000192800000000659,0.000454608325925633,3600,0.000655661531779865,-2.7036233197268,-2.69313419392803,-116.0999153,36.0599275
"79085",-116.0996692,36.0597278,2019-06-28 14:00:00,-0.00286830000000293,-0.000659199999994087,0.00294307484274679,3600,0.000651671660769832,-2.91569281333093,-0.212069493604131,-116.0992575,36.0599206
"79137",-116.1025375,36.0590686,2019-06-28 15:00:00,-0.000127800000001344,6.91999999986592e-05,0.000145332308865434,3600,0.000667594530980102,2.64532115561626,-0.722171338232393,-116.0996692,36.0597278
